meeting_airport,total_cost,path1,cost1,path2,cost2,path3,cost3
TYR,1360,MSP->ORD->PHL->TYR,528,LAX->SAN->TYR,320,HOU->PHL->TYR,512
WRG,1367,MSP->SEA->JNU->WRG,509,LAX->SEA->JNU->WRG,354,HOU->BOI->SEA->JNU->WRG,504
ALO,1388,MSP->ORD->PHL->ALO,448,LAX->ORD->PHL->ALO,508,HOU->PHL->ALO,432
ERI,1405,MSP->ORD->MCI->ERI,440,LAX->MCI->ERI,416,HOU->CLE->TPA->ERI,549
BFL,1407,MSP->BFL,387,LAX->PHX->BFL,451,HOU->ATL->BFL,569
MQT,1420,MSP->ORD->SDF->MQT,418,LAX->MCO->MQT,467,HOU->ORD->SDF->MQT,535
KTN,1427,MSP->SEA->JNU->KTN,529,LAX->SEA->JNU->KTN,374,HOU->BOI->SEA->JNU->KTN,524
PRC,1455,MSP->DEN->PRC,483,LAX->PRC,337,HOU->BOI->SEA->LAX->PRC,635
HYS,1475,MSP->DEN->HYS,433,LAX->DEN->HYS,443,HOU->DSM->DEN->HYS,599
GCC,1475,MSP->DEN->GCC,433,LAX->DEN->GCC,443,HOU->DSM->DEN->GCC,599
DDC,1475,MSP->DEN->DDC,433,LAX->DEN->DDC,443,HOU->DSM->DEN->DDC,599
SUX,1475,MSP->DEN->SUX,433,LAX->DEN->SUX,443,HOU->DSM->DEN->SUX,599
RKS,1475,MSP->DEN->RKS,433,LAX->DEN->RKS,443,HOU->DSM->DEN->RKS,599
VRB,1483,MSP->ORD->PVD->VRB,526,LAX->PVD->VRB,421,HOU->PVD->VRB,536
SHR,1505,MSP->DEN->SHR,443,LAX->DEN->SHR,453,HOU->DSM->DEN->SHR,609
RIW,1505,MSP->DEN->RIW,443,LAX->DEN->RIW,453,HOU->DSM->DEN->RIW,609
SLN,1505,MSP->DEN->SLN,443,LAX->DEN->SLN,453,HOU->DSM->DEN->SLN,609
MOT,1522,MSP->ORD->MCI->MOT,502,LAX->MCI->MOT,478,HOU->ATL->MOT,542
ART,1531,MSP->IAH->ART,468,LAX->IAH->ART,458,HOU->RIC->ART,605
CDV,1550,MSP->SEA->ANC->CDV,570,LAX->SEA->ANC->CDV,415,HOU->BOI->SEA->ANC->CDV,565
JST,1555,MSP->IAD->JST,449,LAX->SEA->IAD->JST,568,HOU->IAD->JST,538
MGW,1555,MSP->IAD->MGW,449,LAX->SEA->IAD->MGW,568,HOU->IAD->MGW,538
CMX,1575,MSP->ORD->CMX,466,LAX->ORD->CMX,526,HOU->ORD->CMX,583
SWO,1584,MSP->ORD->SDF->SWO,469,LAX->ORD->SDF->SWO,529,HOU->ORD->SDF->SWO,586
BTM,1591,MSP->DEN->BTM,473,LAX->DEN->BTM,483,HOU->ATL->BTM,635
CIU,1593,MSP->ORD->CLE->CIU,506,LAX->SFO->CIU,540,HOU->CLE->CIU,547
ITH,1604,MSP->ORD->JFK->ITH,569,LAX->JFK->ITH,568,HOU->ATL->ITH,467
ORH,1606,MSP->EWR->FLL->ORH,499,LAX->SFO->FLL->ORH,494,HOU->CLE->FLL->ORH,613
XWA,1618,MSP->IAD->XWA,486,LAX->ABQ->XWA,558,HOU->ATL->XWA,574
HVN,1622,MSP->ORD->MCO->HVN,508,LAX->MCO->HVN,489,HOU->ORD->MCO->HVN,625
ADQ,1648,MSP->ORD->ADQ,590,LAX->SEA->ANC->ADQ,454,HOU->BOI->SEA->ANC->ADQ,604
BET,1664,MSP->SEA->ANC->BET,608,LAX->SEA->ANC->BET,453,HOU->BOI->SEA->ANC->BET,603
JLN,1685,MSP->DEN->JLN,503,LAX->DEN->JLN,513,HOU->DSM->DEN->JLN,669
PLN,1702,MSP->BWI->PLN,514,LAX->BWI->PLN,524,HOU->ORD->BWI->PLN,664
DLG,1715,MSP->SEA->ANC->DLG,625,LAX->SEA->ANC->DLG,470,HOU->BOI->SEA->ANC->DLG,620
AKN,1715,MSP->SEA->ANC->AKN,625,LAX->SEA->ANC->AKN,470,HOU->BOI->SEA->ANC->AKN,620
PIB,1768,MSP->IAH->PIB,535,LAX->IAH->PIB,525,HOU->ATL->IAH->PIB,708
LWS,1769,MSP->SEA->LWS,643,LAX->SEA->LWS,488,HOU->BOI->SEA->LWS,638
JMS,1775,MSP->DEN->JMS,533,LAX->DEN->JMS,543,HOU->DSM->DEN->JMS,699
RHI,1780,MSP->ORD->STL->RHI,543,LAX->PHX->STL->RHI,577,HOU->ORD->STL->RHI,660
ESC,1780,MSP->ESC,430,LAX->DEN->MSP->ESC,652,HOU->MSP->ESC,698
MEI,1798,MSP->IAH->MEI,545,LAX->IAH->MEI,535,HOU->ATL->IAH->MEI,718
DVL,1805,MSP->DEN->DVL,543,LAX->DEN->DVL,553,HOU->DSM->DEN->DVL,709
OTZ,1805,MSP->SEA->ANC->OTZ,655,LAX->SEA->ANC->OTZ,500,HOU->BOI->SEA->ANC->OTZ,650
ABY,1806,MSP->ORD->ABY,643,LAX->CHS->ABY,636,HOU->ATL->ABY,527
